Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Home W-L%,Away W,Away L,Away W-L%,Points Tm.,Points Opp.,Column1,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
172,McNeese State,29,12,17,0.414,-11.84,-5.88,8,10,7,5,0.583333333,5,12,0.294117647,2184,2209,,1170,780,1787,0.436,205,597,0.343,419,590,0.71,339,1144,327,156,133,416,505
173,Memphis,34,21,13,0.618,2.19,2.54,10,8,14,5,0.736842105,5,5,0.5,2408,2420,,1380,828,1832,0.452,201,634,0.317,551,798,0.69,391,1165,442,202,128,467,583
174,Mercer,32,18,14,0.563,-0.06,-3.66,11,7,11,3,0.785714286,6,8,0.428571429,2416,2204,,1300,827,1736,0.476,273,705,0.387,489,647,0.756,308,1107,470,176,53,397,539
175,Miami (FL),31,22,9,0.71,13.27,7.14,11,7,11,3,0.785714286,8,4,0.666666667,2299,2109,,1250,850,1832,0.464,243,669,0.363,354,534,0.663,309,1080,413,203,123,351,505
176,Miami (OH),33,16,17,0.485,-3.01,-0.85,8,10,9,5,0.642857143,6,10,0.375,2362,2307,,1350,853,1947,0.438,288,852,0.338,368,539,0.683,330,1209,440,252,86,442,555
177,Michigan State,33,29,4,0.879,23.46,7.28,16,2,16,1,0.941176471,8,1,0.888888889,2672,2138,,1325,943,1872,0.504,277,671,0.413,509,678,0.751,365,1348,638,135,243,435,596
178,Michigan,35,28,7,0.8,18.9,8.78,13,5,15,1,0.9375,6,5,0.545454545,2606,2224,,1415,943,2003,0.471,320,868,0.369,400,607,0.659,300,1167,518,219,111,320,545
179,Middle Tennessee,31,24,7,0.774,9.79,2.19,16,2,11,2,0.846153846,12,1,0.923076923,2320,2040,,1250,838,1803,0.465,226,612,0.369,418,563,0.742,333,1121,437,194,69,385,613
180,Milwaukee,33,16,17,0.485,-4.25,-4.35,8,10,9,7,0.5625,6,9,0.4,2259,2260,,1330,834,1872,0.446,235,704,0.334,356,528,0.674,289,1146,429,196,125,412,545
181,Minnesota,32,15,17,0.469,7.3,7.21,4,14,11,6,0.647058824,2,9,0.181818182,2405,2402,,1295,850,1971,0.431,218,630,0.346,487,692,0.704,371,1221,467,181,163,352,492
182,Mississippi State,33,22,11,0.667,11.36,6.36,9,9,18,2,0.9,2,8,0.2,2433,2240,,1330,896,1924,0.466,226,726,0.311,415,604,0.687,349,1191,430,222,178,436,557
183,Mississippi Valley State,32,4,28,0.125,-21.29,-8.01,4,14,3,6,0.333333333,1,21,0.045454545,2075,2500,,1300,757,1977,0.383,171,568,0.301,388,575,0.675,393,1136,327,186,55,421,658
184,Mississippi,32,12,20,0.375,7.21,9.53,5,13,10,8,0.555555556,1,10,0.090909091,2426,2500,,1300,841,1999,0.421,251,788,0.319,493,675,0.73,393,1214,468,200,131,365,609
185,Missouri-Kansas City,32,10,22,0.313,-9.85,-0.68,5,9,6,8,0.428571429,3,11,0.214285714,2251,2447,,1285,756,1859,0.407,284,845,0.336,455,640,0.711,259,1018,354,202,81,411,681
186,Missouri State,33,18,15,0.545,3.08,0.46,7,11,10,5,0.666666667,4,8,0.333333333,2313,2197,,1325,851,1952,0.436,234,707,0.331,377,527,0.715,389,1276,425,153,134,382,575
187,Missouri,32,20,12,0.625,14.55,9.35,10,8,13,3,0.8125,5,6,0.454545455,2345,2179,,1290,778,1716,0.453,298,775,0.385,491,667,0.736,327,1189,435,165,136,453,573
188,Monmouth,31,11,20,0.355,-2.12,-0.96,7,11,6,6,0.5,4,12,0.25,2336,2372,,1280,787,1718,0.458,223,574,0.389,539,758,0.711,276,1115,399,197,73,473,675
189,Montana State,32,13,19,0.406,-8.46,-3.29,6,12,8,6,0.571428571,3,12,0.2,2434,2524,,1295,817,1929,0.424,257,731,0.352,543,746,0.728,357,1167,401,176,66,399,645
190,Montana,33,26,7,0.788,6.56,-2.7,16,2,14,0,1,8,6,0.571428571,2578,2268,,1340,926,1965,0.471,183,534,0.343,543,769,0.706,392,1225,421,256,112,410,695
191,Morehead State,29,8,21,0.276,-10.49,-1.75,4,14,7,6,0.538461538,1,15,0.0625,2043,2204,,1165,712,1655,0.43,204,631,0.323,415,592,0.701,338,1041,344,165,86,456,598
192,Morgan State,32,13,19,0.406,-15.4,-11.7,7,9,8,2,0.8,3,15,0.166666667,2311,2395,,1300,799,1921,0.416,163,492,0.331,550,761,0.723,424,1207,395,226,89,444,649
